TEIL;FA;COUNT;MIN;MAX;AVG;MIN_O;MAX_O;AVG_O
B;6401;99;292000;2566000;501090.91;1;1;1.00
B;5715;100;323000;2752000;561710.00;1;2;1.02
B;6182;99;332000;3491000;591323.23;1;2;1.01
B;8366;104;297000;1855000;575096.15;1;2;1.06
B;8571;100;287000;3199000;448190.00;1;1;1.00
B;6320;106;310000;2656000;605330.19;1;2;1.06
B;7678;101;279000;1466000;458435.64;1;2;1.01
B;9611;101;295000;1976000;436564.36;1;2;1.01
B;9699;96;274000;2529000;414614.58;1;1;1.00
B;9700;100;273000;1866000;427580.00;1;2;1.02
B;7591;98;287000;1741000;411418.37;1;1;1.00
B;7263;101;290000;2439000;430069.31;1;2;1.01
B;6692;101;287000;3345000;472346.53;1;2;1.01
B;7425;100;290000;3290000;533730.00;1;2;1.04
B;6102;104;329000;2870000;585086.54;1;2;1.04
B;8999;101;283000;2587000;503336.63;1;2;1.01
B;9044;103;291000;2926000;542038.83;1;2;1.03
B;6026;100;330000;3577000;620180.00;1;2;1.03
B;8118;99;287000;3305000;521222.22;1;2;1.01
B;6987;99;228000;2641000;474484.85;1;1;1.00
B;7109;100;290000;2272000;477370.00;1;1;1.00
B;6101;100;328000;3041000;520950.00;1;1;1.00
B;7508;98;308000;1941000;435244.90;1;1;1.00
B;7842;102;293000;1277000;413882.35;1;2;1.02
B;7943;100;289000;2598000;497400.00;1;2;1.01
B;8269;100;289000;913000;370500.00;1;1;1.00
B;6398;104;291000;2500000;491000.00;1;2;1.03
B;7681;100;290000;2023000;458420.00;1;2;1.02
B;8267;97;290000;1121000;382391.75;1;1;1.00
B;7682;100;283000;1445000;474800.00;1;2;1.01
B;8469;102;287000;3268000;574460.78;1;2;1.03
B;8573;101;292000;2880000;492396.04;1;2;1.01
B;5868;102;327000;3145000;578490.20;1;2;1.02
B;6561;100;293000;2907000;493430.00;1;1;1.00
B;6321;97;297000;2670000;700556.70;1;2;1.02
B;8938;100;283000;2067000;401340.00;1;1;1.00
B;9045;98;290000;2086000;449091.84;1;2;1.02
B;9220;100;299000;2279000;590430.00;1;2;1.02
B;9321;98;291000;3563000;465153.06;1;1;1.00
B;7774;103;285000;2840000;493844.66;1;1;1.00
B;7047;97;284000;1944000;496762.89;1;2;1.01
B;7261;100;287000;3129000;512930.00;1;1;1.00
B;6178;99;326000;1290000;495363.64;1;1;1.00
B;6986;100;296000;2187000;408160.00;1;1;1.00
B;7048;102;363000;2834000;617225.49;1;1;1.00
B;7777;102;291000;2637000;535049.02;1;2;1.02
B;7505;99;284000;1681000;459717.17;1;2;1.01
B;8188;98;278000;1272000;434306.12;1;1;1.00
B;8468;100;288000;847000;361050.00;1;1;1.00
B;7107;98;287000;3459000;548153.06;1;1;1.00
B;8466;100;288000;1569000;353120.00;1;1;1.00
B;7342;98;291000;1324000;410785.71;1;1;1.00
B;9323;97;296000;3226000;591865.98;1;2;1.01
B;6622;104;284000;3014000;617288.46;1;2;1.04
B;8365;100;290000;2243000;427920.00;1;1;1.00
B;8260;100;290000;1319000;393220.00;1;1;1.00
B;8470;98;297000;1160000;389622.45;1;1;1.00
B;6624;99;313000;3232000;703303.03;1;2;1.01
B;8836;101;291000;2733000;488237.62;1;2;1.01
B;6023;102;323000;3052000;633107.84;1;2;1.02
B;7944;101;296000;3250000;475663.37;1;2;1.01
B;6028;101;332000;2546000;579435.64;1;2;1.01
B;7187;100;291000;2716000;456690.00;1;1;1.00
B;9048;98;294000;3550000;416795.92;1;2;1.01
B;6778;100;291000;3254000;440730.00;1;1;1.00
B;8574;100;293000;3126000;533610.00;1;2;1.02
B;9129;104;290000;3277000;465663.46;1;3;1.03
B;7503;106;297000;2698000;570981.13;1;2;1.04
B;7885;97;287000;1618000;381721.65;1;1;1.00
B;9412;98;292000;1520000;510571.43;1;1;1.00
B;9514;102;282000;3302000;568401.96;1;2;1.03
B;8741;102;286000;2731000;530176.47;1;2;1.02
B;9614;100;279000;2602000;409410.00;1;1;1.00
B;7267;100;290000;2441000;428170.00;1;1;1.00
B;8461;98;292000;3301000;558255.10;1;2;1.01
B;8463;105;284000;2711000;584980.95;1;2;1.06
B;9415;101;301000;2600000;476970.30;1;2;1.01
B;9320;100;294000;2519000;447130.00;1;1;1.00
B;8360;56;290000;1670000;456375.00;1;1;1.00
B;5716;100;324000;2457000;567070.00;1;2;1.01
B;6400;101;280000;1591000;474227.72;1;2;1.01
B;6775;105;233000;3249000;612228.57;1;2;1.08
B;8933;101;291000;2757000;467128.71;1;2;1.01
B;7106;103;288000;3150000;540980.58;1;2;1.03
B;6776;101;296000;3161000;616148.51;1;2;1.03
B;8364;100;291000;2004000;460270.00;1;2;1.01
B;8737;99;305000;2542000;487444.44;1;2;1.01
B;9698;100;280000;2327000;413560.00;1;1;1.00
B;9046;102;285000;3054000;489254.90;1;2;1.02
B;6105;101;328000;976000;421415.84;1;2;1.01
B;7341;95;279000;3444000;559536.84;1;1;1.00
B;5717;100;331000;1243000;426250.00;1;1;1.00
B;7428;103;293000;2639000;500126.21;1;3;1.03
B;7941;100;288000;1967000;447740.00;1;1;1.00
B;9517;100;286000;2508000;406160.00;1;1;1.00
B;9520;100;299000;2248000;481700.00;1;1;1.00
B;9609;98;289000;3587000;501765.31;1;1;1.00
B;6623;99;308000;3504000;622444.44;1;2;1.02
B;6181;100;333000;1604000;529110.00;1;2;1.02
B;6323;100;285000;2863000;505860.00;1;2;1.02
B;7507;102;292000;2507000;529441.18;1;2;1.02
B;9411;98;300000;2251000;512897.96;1;1;1.00
B;6565;95;284000;3157000;595168.42;1;1;1.00
B;6485;101;284000;2956000;567623.76;1;3;1.02
B;8119;100;290000;1705000;394460.00;1;1;1.00
B;6696;103;292000;3418000;604572.82;1;2;1.03
B;6250;96;242000;2890000;483468.75;1;1;1.00
