Lagerout;count(b.baseid);MinFertigungszeit;MaxFertigungszeit;AVGFertigungszeit
005915;80;6,54;81,63;18,601875
005916;80;7,16;74,9;15,743
005917;100;5,41;106,03;19,2228
005918;100;5,31;28367,28;581,2938
005919;99;5,11;8399,45;271,2073737
005920;100;5,16;149,37;16,7426
005921;100;5,15;79,59;16,1629
005922;100;5,16;9197,86;199,222
005923;100;5,26;127,9;19,0501
005924;100;5,57;82,68;14,6761
005925;100;5,31;8366,77;182,7065
005926;100;5,28;143,86;19,5685
005927;100;5,1;68,79;11,8392
005928;100;5,16;92,09;14,1099
005929;100;5,3;9198,64;197,2121
005930;100;6,32;88,12;15,7062
005931;100;6,31;66,42;13,6898
005932;100;6,25;90,7;16,1224
005933;100;6,36;65,14;13,7068
005934;99;6,21;85,94;16,26434343
005935;100;6,25;8358,01;182,2687
005936;100;6,36;39251,67;798,6756
005937;100;6,31;181,86;18,5595
005938;100;6,4;78,61;13,256
005939;100;6,23;112,62;18,5899
005940;100;6,25;83,65;15,189
005941;100;6,26;8311,78;182,4078
005942;100;5,41;8312,21;183,6673
005943;100;5,31;196,76;18,2382
005944;100;4,93;28485;585,2543
005945;100;5,08;60,14;12,2063
005946;100;4,99;122,54;16,1812
005947;100;5,14;89,93;14,5738
005948;100;5,04;728312,46;14580,8324
005949;90;5,12;77,08;16,23211111
005950;90;5,12;49,84;13,21633333
005951;90;5,12;71,19;12,83233333
005952;90;5,11;8303,3;196,752
005953;90;5,04;304,38;21,80711111
005954;90;5,05;52,09;10,17677778
005955;89;5,19;85,63;18,81235955
005956;90;4,83;8307,7;196,5056667
005957;90;4,43;8304,79;196,6266667
005958;90;4,45;81,62;13,74811111
005959;88;4,34;199,91;21,08931818
005960;90;4,43;8303,85;200,2253333
005961;90;4,35;728308,55;16198,75622
005962;90;4,36;87,8;13,18866667
005963;89;4,4;52,95;13,0211236
005964;90;4,06;86,85;12,88966667
005965;91;4,85;28309,59;640,8048352
005966;90;4,89;68,77;16,115
005967;90;4,47;79,76;12,69311111
005968;90;4,39;409,16;22,36388889
005970;90;4,41;84,09;15,368
005971;90;4,35;72,58;11,52755556
005972;88;4,35;86,83;11,50943182
005973;80;6,95;83,61;16,97525
005974;80;6,95;58,92;16,562375
005975;80;6,94;8312,03;119,06475
005976;80;6,93;92,33;14,476625
005977;80;6,55;198,53;22,462875
005978;80;6,96;94,96;17,597875
005979;80;6,72;8304,06;222,035625
005980;169;4,36;82,4;15,66621302
005981;80;6,97;57,84;14,18775
005982;100;5,57;30094,71;616,7566
005983;100;5,23;99,33;11,8059
005984;100;5,93;8813,81;200,4609
005985;100;5,56;83,87;14,8783
005986;100;5,03;728947,74;14780,8439
005987;100;5,29;127,17;19,4924
005988;100;5,69;8572,68;193,5087
005989;100;6,24;28302,66;578,9174
005990;100;6,31;67,05;14,7729
005991;102;6,3;70,61;14,38941176
005992;100;6,41;67,81;15,1782
005993;100;6,33;83,39;12,1021
005994;100;6,34;92,94;15,4416
005995;100;6,3;47,99;15,7097
005996;100;6,26;81,56;15,0096
005997;100;6,26;88,04;16,5812
005998;99;6,25;227,81;18,73707071
005999;100;6,33;91,15;14,6911
006000;100;6,44;8298,11;179,4118
006001;100;6,36;81,95;13,7795
006002;100;6,43;73,84;16,4657
006003;100;5,1;84,54;16,4062
006004;101;4,97;8323,75;188,1076238
006005;101;4,97;229,68;19,68079208
006006;100;4,46;8309,38;180,3273
006007;101;4,89;94,56;14,3380198
006008;101;4,43;202,3;22,83871287
006009;101;4,85;728400,76;21649,27257
006010;100;5,19;28375,8;579,5593
006011;100;5,08;81,26;15,9628
006012;100;5,07;67,1;13,3945
006013;100;5,01;70,22;15,6059
006014;100;5;74,76;13,6201
006015;99;4,85;8866,72;200,7820202
006016;99;5,03;90,12;14,04040404
006017;100;5,15;616,21;23,7651
006018;100;5;83,77;13,8701
006019;100;5,18;38319,91;777,6802
006020;100;4,81;73,97;12,6234
006021;98;5,3;8312,96;182,647449
006022;100;5,18;401,54;23,0175
006023;100;5,8;85;14,0181
006024;100;5,39;8597,86;185,0836
006025;90;5,11;9142,8;219,4323333
006026;90;5,28;51,07;12,39133333
006027;90;5,11;85,87;12,84077778
006028;90;5,02;45,69;12,25711111
006029;90;5,09;81,99;14,27933333
006030;90;5,1;8308,02;196,1967778
006031;90;5,12;54,14;11,67555556
006032;90;5,16;114,73;16,59733333
006033;90;4,96;83,19;15,71388889
006034;90;4,34;8300,17;194,5758889
006035;90;4,37;61,84;11,03111111
006036;91;4,36;160,05;16,19593407
006037;90;4,34;99,98;15,61688889
006038;89;4,4;28419,67;333,8048315
006039;89;4,47;83,93;14,43640449
006040;90;4,43;86,74;14,82466667
006041;90;4,42;49,08;11,40077778
006042;90;4,48;81,9;13,72166667
006043;90;4,43;8316,17;196,4132222
006044;90;4,44;90,02;14,34144444
006045;90;4,42;44,99;11,54811111
006046;90;4,43;68,78;13,63966667
006047;90;4,43;8311,91;197,4876667
006048;90;4,45;84,11;10,52677778
006049;90;4,47;8315,7;198,475
006050;90;4,47;77,26;10,68266667
006051;90;4,42;90,55;11,77611111
006052;80;7,16;55,68;17,884125
006053;80;7,17;185,96;25,603
006054;80;7,41;114,6;20,660375
006055;80;7,24;8304,66;231,0125
006056;80;7,03;148,7;17,450375
006057;80;7,03;59,61;14,686375
