Lagerin;count(b.baseid);MinFertigungszeit;MaxFertigungszeit;AVGFertigungszeit
000043735;90;4,43;83,91;11,32244444
000043736;90;4,42;71;10,22488889
000043738;91;4,26;65,92;10,35043956
000043742;92;4,45;101,06;13,83771739
000043748;97;5,53;90,89;12,69319588
000043749;94;5,05;9427,12;218,5703192
000043752;100;5,29;9297,14;204,2812
000043759;101;5,07;9137,85;192,919802
000043760;103;5,28;8941,02;191,6066019
000043773;101;5,67;77,89;13,92554455
000043776;99;6,91;70,63;13,96939394
000043779;100;7;86,01;17,075
000043801;102;4,91;87,93;13,88431373
000043804;100;4,57;90,84;13,2218
000043805;100;4,48;47,82;11,0825
000043808;101;4,93;77,72;13,53237624
000043811;100;5,05;77,85;13,9253
000043812;100;5,12;75,14;12,811
000043815;100;4,88;8310,16;177,4865
000043817;100;5,17;28319,67;581,8704
000043902;91;4,44;70,62;9,74615385
000043903;90;4,48;87,64;11,60566667
000043905;91;4,44;28435,43;950,5156044
000043914;81;4,48;50,12;13,26222222
000043919;101;6,98;28670,89;589,6122772
000043921;97;6,96;78,06;15,37257732
000043924;100;6,93;84,16;12,8614
000043926;103;6,97;94,12;15,86126214
000043928;100;6,97;78,88;16,9021
000043930;102;6,53;91,63;14,86882353
000043934;90;4,38;91,46;12,86688889
000043936;90;4,43;8308,69;195,4094444
000043938;91;4,4;59,98;11,39637363
000043939;90;4,42;246,24;15,786
000043944;101;5,18;9858,5;116,5488119
000043948;104;5,19;230,32;24,16413462
000043952;104;5,23;39372,14;1162,245865
000043957;90;4,46;58,02;13,522
000043960;90;4,43;98,97;13,544
000043961;90;4,41;73,92;11,62766667
000043965;91;4,52;8306,92;103,2752747
000043967;91;4,46;200,96;16,33791209
000043984;90;5,18;69,12;11,45544444
000043989;91;5,12;75,91;12,90714286
000043991;88;5,1;83,97;14,69931818
000043997;93;4,42;8298,15;194,1624731
000044000;93;4,41;81,81;15,14225806
000044004;106;6,96;8314,17;186,5779245
000044006;100;6,93;8298,78;178,485
000044008;100;6,93;68,19;12,5306
000044011;100;6,85;8302,77;178,9554
000044019;100;5,05;116,68;14,5354
000044021;101;5,12;80,54;14,17039604
000044026;99;5,11;9180,54;197,6346465
000044028;101;5,06;192,45;15,09009901
000044065;80;4,46;48,16;11,266375
000044068;81;4,46;63,28;14,11728395
000044074;90;7,25;8651,99;309,9293333
000044079;79;7,14;101,8;16,72848101
000044080;80;4,54;8352,14;119,5565
