TEIL;FA;COUNT;MIN;MAX;AVG
B;005947;100;332.0;2096.0;550.76
B;006100;100;330.0;2543.0;677.81
B;009611;100;295.0;1976.0;436.56
B;008115;100;287.0;2771.0;443.74
B;009699;100;274.0;2529.0;414.61
B;007264;100;289.0;2891.0;504.18
B;006991;99;241.0;1460.0;453.66
B;005951;100;337.0;1743.0;488.23
B;008362;98;293.0;1430.0;387.57
B;008114;100;286.0;2936.0;516.55
B;008263;100;291.0;2078.0;484.81
B;009411;100;300.0;2251.0;513.12
B;008662;100;304.0;2163.0;492.66
B;009519;100;273.0;2186.0;451.26
B;009003;100;286.0;3229.0;528.18
B;008999;100;283.0;2587.0;503.34
B;008836;100;291.0;2733.0;488.24
B;006250;99;242.0;2890.0;483.47
B;005872;100;347.0;1506.0;499.25
B;006483;100;303.0;1730.0;500.19
B;008469;101;287.0;3268.0;574.46
B;006567;100;286.0;2863.0;642.67
B;009126;101;285.0;2644.0;494.49
B;009128;100;291.0;3094.0;515.79
B;007885;100;287.0;1618.0;381.72
B;007107;100;287.0;3459.0;548.15
B;006562;199;218.0;3323.0;570.87
B;008366;100;297.0;1855.0;575.1
B;008364;99;291.0;2004.0;460.27
B;009048;100;294.0;3550.0;416.8
B;007109;100;290.0;2272.0;477.37
B;009324;101;287.0;2177.0;584.38
B;006775;99;233.0;3249.0;612.23
B;006251;101;314.0;2359.0;569.61
B;007772;101;286.0;2895.0;489.76
B;009413;100;298.0;2044.0;504.92
B;008118;100;287.0;3305.0;521.22
B;008937;100;284.0;1923.0;412.51
B;007051;100;288.0;3253.0;609.62
B;006247;100;341.0;3549.0;635.56
B;007267;100;290.0;2441.0;428.17
B;009522;101;303.0;1474.0;447.68
B;005945;100;334.0;2679.0;537.48
B;006561;100;293.0;2907.0;493.43
B;008032;100;279.0;3537.0;574.29
B;008265;100;292.0;1239.0;404.9
B;008465;100;284.0;3096.0;467.35
B;008571;100;287.0;3199.0;448.19
B;006861;100;290.0;1034.0;407.12
B;008574;100;293.0;3126.0;533.61
B;007427;100;284.0;2159.0;498.36
B;006856;100;285.0;2158.0;505.84
B;009609;100;289.0;3587.0;501.77
B;007108;100;293.0;2391.0;544.94
B;007589;100;298.0;1165.0;457.71
B;008569;99;286.0;2263.0;422.3
