-------------------------------------------------------------------------------------------------------------------------------------------------------------------

TEIL: A       Gesamtanzahl gefertigt: 2235

FA: 006104     Anzahl gefertigt: 100        MIN: 0T:0h:5m:28s        MAX: 0T:0h:56m:59s        AVG: 0T:0h:10m:5s     MIN_FAIL: 1       MAX_FAIL: 2        AVG_FAIL: 4.00 %
FA: 006105     Anzahl gefertigt: 100        MIN: 0T:0h:5m:28s        MAX: 0T:0h:16m:16s        AVG: 0T:0h:7m:1s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 1.00 %
FA: 006106     Anzahl gefertigt: 100        MIN: 0T:0h:5m:36s        MAX: 0T:0h:50m:41s        AVG: 0T:0h:10m:5s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 4.00 %
FA: 006177     Anzahl gefertigt: 100        MIN: 0T:0h:5m:27s        MAX: 0T:0h:25m:42s        AVG: 0T:0h:9m:5s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 2.00 %
FA: 006178     Anzahl gefertigt: 101        MIN: 0T:0h:5m:26s        MAX: 0T:0h:21m:30s        AVG: 0T:0h:8m:15s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 2.97 %
FA: 006179     Anzahl gefertigt: 100        MIN: 0T:0h:5m:27s        MAX: 0T:0h:55m:27s        AVG: 0T:0h:9m:28s     MIN_FAIL: 0       MAX_FAIL: 0        AVG_FAIL: 0.00 %
FA: 006180     Anzahl gefertigt: 100        MIN: 0T:0h:5m:29s        MAX: 0T:0h:54m:58s        AVG: 0T:0h:10m:24s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 3.00 %
FA: 006181     Anzahl gefertigt: 100        MIN: 0T:0h:5m:33s        MAX: 0T:0h:26m:44s        AVG: 0T:0h:8m:49s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 2.00 %
FA: 006182     Anzahl gefertigt: 100        MIN: 0T:0h:5m:32s        MAX: 0T:0h:58m:11s        AVG: 0T:0h:9m:51s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 3.00 %
FA: 006183     Anzahl gefertigt: 101        MIN: 0T:0h:5m:40s        MAX: 0T:0h:53m:18s        AVG: 0T:0h:10m:43s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 3.96 %
FA: 006247     Anzahl gefertigt: 100        MIN: 0T:0h:5m:41s        MAX: 0T:0h:59m:9s        AVG: 0T:0h:10m:35s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 1.00 %
FA: 006248     Anzahl gefertigt: 100        MIN: 0T:0h:5m:26s        MAX: 0T:0h:27m:12s        AVG: 0T:0h:9m:7s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 6.00 %
FA: 006249     Anzahl gefertigt: 100        MIN: 0T:0h:5m:10s        MAX: 0T:0h:46m:27s        AVG: 0T:0h:11m:4s     MIN_FAIL: 1       MAX_FAIL: 2        AVG_FAIL: 8.00 %
FA: 006250     Anzahl gefertigt: 99        MIN: 0T:0h:4m:2s        MAX: 0T:0h:48m:10s        AVG: 0T:0h:8m:3s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 1.01 %
FA: 006251     Anzahl gefertigt: 101        MIN: 0T:0h:5m:14s        MAX: 0T:0h:39m:19s        AVG: 0T:0h:9m:29s     MIN_FAIL: 1       MAX_FAIL: 2        AVG_FAIL: 8.91 %
FA: 006252     Anzahl gefertigt: 100        MIN: 0T:0h:5m:16s        MAX: 0T:0h:45m:39s        AVG: 0T:0h:9m:56s     MIN_FAIL: 1       MAX_FAIL: 2        AVG_FAIL: 7.00 %
FA: 006320     Anzahl gefertigt: 100        MIN: 0T:0h:5m:10s        MAX: 0T:0h:44m:16s        AVG: 0T:0h:10m:5s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 6.00 %
FA: 006321     Anzahl gefertigt: 100        MIN: 0T:0h:4m:57s        MAX: 0T:0h:44m:30s        AVG: 0T:0h:11m:40s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 3.00 %
FA: 006322     Anzahl gefertigt: 101        MIN: 0T:0h:4m:57s        MAX: 0T:0h:19m:31s        AVG: 0T:0h:7m:48s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.99 %
FA: 006323     Anzahl gefertigt: 100        MIN: 0T:0h:4m:45s        MAX: 0T:0h:47m:43s        AVG: 0T:0h:8m:25s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 3.00 %
FA: 006324     Anzahl gefertigt: 100        MIN: 0T:0h:4m:49s        MAX: 0T:0h:54m:17s        AVG: 0T:0h:8m:34s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 4.00 %
FA: 006325     Anzahl gefertigt: 100        MIN: 0T:0h:4m:35s        MAX: 0T:0h:57m:19s        AVG: 0T:0h:11m:44s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 4.00 %
FA: 006326     Anzahl gefertigt: 100        MIN: 0T:0h:4m:45s        MAX: 0T:0h:38m:17s        AVG: 0T:0h:9m:9s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 2.00 %
FA: 006398     Anzahl gefertigt: 101        MIN: 0T:0h:4m:51s        MAX: 0T:0h:41m:40s        AVG: 0T:0h:8m:11s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 2.97 %
FA: 006399     Anzahl gefertigt: 100        MIN: 0T:0h:4m:51s        MAX: 0T:0h:47m:57s        AVG: 0T:0h:8m:3s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 1.00 %
FA: 006400     Anzahl gefertigt: 102        MIN: 0T:0h:4m:40s        MAX: 0T:0h:26m:31s        AVG: 0T:0h:7m:54s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 1.96 %
FA: 006401     Anzahl gefertigt: 99        MIN: 0T:0h:4m:52s        MAX: 0T:0h:42m:46s        AVG: 0T:0h:8m:21s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 1.01 %
FA: 006402     Anzahl gefertigt: 100        MIN: 0T:0h:4m:52s        MAX: 0T:0h:48m:1s        AVG: 0T:0h:7m:57s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 2.00 %
FA: 006403     Anzahl gefertigt: 101        MIN: 0T:0h:4m:54s        MAX: 0T:0h:55m:17s        AVG: 0T:0h:9m:40s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 4.95 %
FA: 006404     Anzahl gefertigt: 100        MIN: 0T:0h:6m:18s        MAX: 0T:0h:33m:24s        AVG: 0T:0h:10m:12s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 2.00 %
FA: 006451     Anzahl gefertigt: 100        MIN: 0T:0h:4m:58s        MAX: 0T:0h:53m:22s        AVG: 0T:0h:8m:12s     MIN_FAIL: 0       MAX_FAIL: 0        AVG_FAIL: 0.00 %
FA: 006452     Anzahl gefertigt: 99        MIN: 0T:0h:6m:16s        MAX: 0T:0h:45m:4s        AVG: 0T:0h:10m:10s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 5.05 %
FA: 006482     Anzahl gefertigt: 100        MIN: 0T:0h:5m:7s        MAX: 0T:0h:28m:20s        AVG: 0T:0h:7m:26s     MIN_FAIL: 0       MAX_FAIL: 0        AVG_FAIL: 0.00 %
FA: 006483     Anzahl gefertigt: 100        MIN: 0T:0h:5m:3s        MAX: 0T:0h:28m:50s        AVG: 0T:0h:8m:20s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 2.00 %
FA: 006484     Anzahl gefertigt: 101        MIN: 0T:0h:4m:42s        MAX: 0T:0h:41m:40s        AVG: 0T:0h:8m:20s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.99 %
