Hinweise:

Anzahl gefertigt = Anzahl der Stücke (SNR), welche erfolgreich durch die Maschine (Output vorhanden) gelaufen sind - doppelte SNR im zählen nur einfach
MIN - minimale Fertigungszeit (Input DS - letzer Output zu Input DS)
MAX - maximale Fertigungszeit (Input DS - letzer Output zu Input DS)
AVG - durchschnittliche Fertigungszeit (alle Fertigungszeiten addiert, dividiert durch Anzahl der verwendeten Input DS)
MIN_FAIL - minimaler Ausschuss (1 entspricht also 2 Input DS einer SNR)
MAX_FAIL - maximaler Ausschuss (1 entspricht also 2 Input DS einer SNR)
AVG_FAIL - durchschnittlicher Ausschuss (Anzahl aller Ausschüsse addiert, dividiert durch Anzahl gefertigt) - in den Daten habe ich vergessen mit 100 zu multiplizieren oder % weg

Es treten noch sehr selten negative Werte im MIN auf. Habe den Fehler aber noch nicht gefunden. 
-------------------------------------------------------------------------------------------------------------------------------------------------------------------

TEIL: A       Gesamtanzahl gefertigt: 2235

FA: 006565     Anzahl gefertigt: 99        MIN: 4.73 min        MAX: 55.17 min        AVG: 15.29 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.04 %
FA: 006566     Anzahl gefertigt: 99        MIN: 4.75 min        MAX: 50.82 min        AVG: 10.45 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.01 %
FA: 006567     Anzahl gefertigt: 100        MIN: 4.77 min        MAX: 47.72 min        AVG: 20.30 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.02 %
FA: 006568     Anzahl gefertigt: 99        MIN: 4.50 min        MAX: 51.17 min        AVG: 11.81 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.04 %
FA: 006622     Anzahl gefertigt: 100        MIN: 4.73 min        MAX: 50.23 min        AVG: 15.07 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.05 %
FA: 006623     Anzahl gefertigt: 99        MIN: 4.75 min        MAX: 58.40 min        AVG: 12.22 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.02 %
FA: 006624     Anzahl gefertigt: 100        MIN: 5.22 min        MAX: 53.87 min        AVG: 12.00 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.02 %
FA: 006651     Anzahl gefertigt: 100        MIN: 4.90 min        MAX: 57.70 min        AVG: 9.72 min     MIN_FAIL: 1       MAX_FAIL: 2        AVG_FAIL: 0.06 %
FA: 006652     Anzahl gefertigt: 103        MIN: 4.97 min        MAX: 44.12 min        AVG: 9.68 min     MIN_FAIL: 1       MAX_FAIL: 2        AVG_FAIL: 0.08 %
FA: 006692     Anzahl gefertigt: 100        MIN: 4.78 min        MAX: 55.75 min        AVG: 8.15 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.01 %
