TEIL;FA;COUNT;MIN;MAX;AVG
C;006380              ;100;410.00;3120.00;632.58
C;006381              ;100;400.00;1597.00;513.41
C;006382              ;100;395.00;2225.00;572.82
C;006383              ;100;394.00;946.00;494.44
C;006384              ;100;401.00;2854.00;541.07
C;006385              ;100;421.00;2832.00;573.78
C;006386              ;100;412.00;2346.00;506.90
C;006387              ;100;405.00;1271.00;514.65
C;006388              ;100;421.00;2563.00;534.46
C;006389              ;100;413.00;2359.00;525.00
C;006459              ;100;418.00;3319.00;581.81
C;006460              ;100;409.00;1876.00;571.85
C;006461              ;100;419.00;2012.00;526.95
C;006462              ;100;419.00;1934.00;544.84
C;006463              ;100;421.00;3344.00;581.79
C;006464              ;100;422.00;2390.00;588.32
C;006465              ;100;423.00;2502.00;606.00
C;006466              ;100;401.00;2095.00;580.55
C;006467              ;100;412.00;2408.00;533.66
C;006468              ;100;412.00;1469.00;517.07
C;006469              ;100;418.00;1602.00;485.01
C;006470              ;100;406.00;1975.00;549.76
C;006471              ;100;422.00;2864.00;546.29
C;006472              ;100;423.00;1754.00;599.16
C;006473              ;100;425.00;3412.00;609.33
C;006474              ;100;423.00;3195.00;649.35
C;006537              ;100;430.00;3580.00;648.50
C;006538              ;100;421.00;3174.00;629.45
C;006539              ;100;428.00;1902.00;524.46
C;006540              ;100;420.00;2560.00;531.20
C;006541              ;100;431.00;1978.00;565.41
C;006542              ;100;431.00;3210.00;583.79
C;006543              ;100;433.00;2337.00;563.95
C;006544              ;100;425.00;2679.00;586.19
C;006545              ;101;422.00;2070.00;632.67
C;006546              ;101;429.00;3119.00;563.59
C;006547              ;100;428.00;3527.00;569.06
C;006548              ;100;418.00;3468.00;550.76
C;006549              ;100;433.00;2778.00;586.51
C;006550              ;100;444.00;2243.00;559.98
C;006551              ;100;455.00;3401.00;625.88
C;006552              ;100;444.00;1909.00;569.09
C;006613              ;100;444.00;3568.00;619.26
C;006614              ;101;450.00;3372.00;662.82
C;006615              ;101;446.00;2774.00;670.87
C;006616              ;100;449.00;2843.00;601.58
C;006617              ;100;436.00;2734.00;680.22
C;006618              ;100;439.00;2210.00;643.78
C;006645              ;96;454.00;2167.00;560.51
C;006646              ;95;451.00;1472.00;623.67
C;006647              ;100;464.00;2196.00;590.17
C;006648              ;96;453.00;3114.00;588.58
C;006671              ;100;455.00;1383.00;557.84
C;006672              ;100;457.00;2435.00;647.26
C;006673              ;100;460.00;3078.00;594.55
C;006674              ;100;468.00;3587.00;682.69
C;006675              ;100;464.00;2296.00;737.02
C;006676              ;100;465.00;3243.00;660.28
C;006677              ;100;465.00;2398.00;709.03
C;006678              ;100;454.00;2713.00;689.82
C;006680              ;100;454.00;1164.00;549.99
C;006681              ;100;463.00;2556.00;645.54
C;006682              ;100;469.00;3428.00;695.98
C;006683              ;100;469.00;3501.00;782.37
C;006684              ;100;297.00;2906.00;664.05
C;006741              ;5;296.00;1575.00;890.00
C;006751              ;100;474.00;2977.00;621.19
C;006752              ;100;477.00;2776.00;603.96
C;006753              ;100;461.00;2200.00;619.63
C;006754              ;100;470.00;2144.00;567.62
C;006755              ;100;469.00;3375.00;666.30
C;006756              ;100;471.00;2381.00;599.72
C;006757              ;100;471.00;3458.00;694.83
C;006758              ;100;475.00;1547.00;579.32
C;006759              ;100;475.00;3359.00;626.74
C;006760              ;100;457.00;2346.00;637.02
C;006761              ;100;472.00;2677.00;620.66
C;006762              ;100;471.00;1304.00;586.52
C;006763              ;100;473.00;2587.00;766.02
C;006764              ;100;472.00;2481.00;606.23
C;006831              ;101;480.00;2153.00;596.18
C;006832              ;100;479.00;2164.00;627.57
C;006833              ;100;479.00;3494.00;658.32
C;006834              ;100;478.00;3157.00;650.52
C;006835              ;100;480.00;1073.00;578.95
C;006836              ;100;480.00;2555.00;606.22
C;006837              ;100;461.00;2070.00;607.76
C;006838              ;100;477.00;2980.00;721.96
C;006839              ;100;473.00;1295.00;561.14
C;006840              ;100;478.00;2165.00;627.22
C;006841              ;100;478.00;3231.00;641.25
C;006842              ;99;479.00;2759.00;636.91
C;006843              ;100;470.00;3430.00;658.93
C;006844              ;100;481.00;2186.00;576.26
C;006845              ;100;480.00;2265.00;605.82
C;006846              ;100;482.00;2229.00;645.72
